participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
30489,113,30489_113,522,5,1,16952,1,164.0336720948119,719,7,1.27,13195.300000000001,1.1269427669584644,171.3466519437291,0.7142857142857143,1.284699855251491,0.9573205559258967
30489,113,30489_113,522,5,0.78,13222.560000000001,0.8831760866327847,144.87061659670138,719,7,1,10390,1,152.04556696892524,0.7142857142857143,1.2726236766121273,0.9528105257176602
30489,97,30489_97,521,5,1,18907,1,173.24280638961798,637,6,1.3,15639,1.140175425099138,172.48398262880013,0.8333333333333334,1.2089647675682589,1.0043993868256793
30489,364,30489_364,576,5,1.06,20955.14,1.0295630140987,182.3823952245052,827,8,1,17158,1,208.80469896186116,0.625,1.221304347826087,0.8734592474751629
30489,396,30489_396,585,5,1,11295,1,133.83372202907148,758,7,1.13,12839.06,1.0630145812734648,168.69196398426567,0.7142857142857143,0.8797373016404628,0.7933615737709622
30489,198,30489_198,544,5,1,19124,1,174.32732998759286,663,6,1.09,13352.500000000002,1.044030650891055,159.52821585362457,0.8333333333333334,1.4322411533420705,1.092768003796565
30489,190,30489_190,542,5,1,9992,1,125.84046596595115,890,8,0.98,13361.32,0.9899494936611666,184.00560996637032,0.625,0.7478303041915021,0.6838947246714397
30489,460,30489_460,599,5,1,13217,1,144.96536663854414,886,8,1.03,10092.970000000001,1.014889156509222,160.13007070701994,0.625,1.3095253428871778,0.9052975871332642
33167,123,33167_123,524,5,1.75,36258.25,1.3228756555322954,240.1266245470435,720,7,1,17736,1,198.37699957494448,0.7142857142857143,2.044330739738385,1.2104559755493554
33167,48,33167_48,510,5,1.99,21283.05,1.4106735979665885,183.94023609734316,925,9,1,15095,1,207.70210727928674,0.5555555555555556,1.4099403776084796,0.8855963885335445
33167,427,33167_427,590,5,1.75,26776.75,1.3228756555322954,206.30070561227092,998,9,1,17992,1,226.74273452294713,0.5555555555555556,1.4882586705202312,0.9098448338215335
33167,262,33167_262,556,5,1,17792,1,167.8609670050623,952,9,0.34,6530.040000000001,0.5830951894845301,136.58121617385103,0.5555555555555556,2.724638746470159,1.2290194194155952
33167,266,33167_266,556,5,1,17792,1,167.8609670050623,1015,10,1,14282,1,213.0911967907423,0.5,1.2457638986136395,0.78774238229044935
33167,349,33167_349,572,5,1.66,23527.18,1.2884098726725126,193.38679331136103,866,8,1,14772,1,193.56697117132077,0.625,1.59268751692391,0.999069170433006
33167,102,33167_102,521,5,1.51,28549.57,1.2288205727444508,212.88432457154636,709,7,1,13870,1,175.6280122051119,0.7142857142857143,2.0583684210526316,1.2121319480796928
33167,448,33167_448,596,5,1.35,17235.45,1.161895003862225,165.53410291359637,981,9,1,11511,1,181.2743617021041,0.5555555555555556,1.497302580140735,0.9131688638111198
33167,223,33167_223,548,5,1,16419,1,161.4109864104174,1024,10,0.43,7964.89,0.6557438524302001,158.94961191557678,0.5,2.0614220660925637,1.0154852501064797
33167,280,33167_280,563,5,1,13607,1,146.91374372304392,617,6,0.62,7469.14,0.7874007874011811,119.25050952904957,0.8333333333333334,1.8217626125631599,1.2319758154765414
33167,268,33167_268,556,5,1.73,30780.16,1.3152946437965904,220.78663080427464,1038,10,1,12502,1,199.03738607479013,0.5,2.462018876979683,1.1092721581528007
33167,330,33167_330,571,5,1,15339,1,156.07397921304812,783,7,0.65,10249.85,0.806225774829855,151.03413957916663,0.7142857142857143,1.4965097050200735,1.0333688770494156
33167,405,33167_405,587,5,1.73,22275.48,1.3152946437965904,187.96903612427352,659,6,1,18396,1,187.33254781222462,0.8333333333333334,1.2108871493803,1.0033976386884296
33167,425,33167_425,590,5,1,15301,1,155.9486749563474,891,8,0.58,6810.94,0.7615773105863908,131.45008384854302,0.625,2.2465327840210016,1.1863718180357472
33167,369,33167_369,577,5,1,19017,1,173.680214988351,627,6,0.76,13149.52,0.8717797887081347,158.31563987412042,0.8333333333333334,1.4462124853226581,1.0970502669631834
33167,97,33167_97,521,5,1,18907,1,173.24280638961798,637,6,0.7,8421,0.8366600265340756,126.56864049702456,0.8333333333333334,2.245220282626766,1.3687656413887976
33167,113,33167_113,522,5,0.93,15765.36,0.9643650760992956,158.18834467256016,719,7,1,10390,1,152.04556696892524,0.7142857142857143,1.5173589990375362,1.0404008997177165
33167,215,33167_215,548,5,1,16419,1,161.4109864104174,814,8,0.61,8106.29,0.7810249675906654,143.47350803919454,0.625,2.0254641765838626,1.1250229301309245
34270,349,34270_349,572,5,1.38,19558.739999999998,1.174734012447073,176.32435801636544,866,8,1,14772,1,193.56697117132077,0.625,1.3240414297319252,0.9109217184594247
34270,280,34270_280,563,5,1,13607,1,146.91374372304392,617,6,0.64,7710.08,0.8,121.15863884021378,0.8333333333333334,1.7648325309205612,1.2125734089568012
34270,83,34270_83,516,5,1.81,20272,1.3453624047073711,179.44653222851244,903,9,1,13796,1,198.47885899041856,0.5555555555555556,1.4694114236010438,0.9041090478919728
34270,396,34270_396,585,5,1.86,21008.7,1.3638181696985856,182.52486182163756,758,7,1,11362,1,158.69205084861295,0.7142857142857143,1.8490318605879248,1.1501827649562633
34270,207,34270_207,546,5,1,16590,1,162.3592941859432,677,6,0.96,10347.84,0.9797958971132712,140.45407175244392,0.8333333333333334,1.6032331385100658,1.1559600384680064
